url,title,author,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,"awards
",places
http://www.example.com/,fake flowers,Madilyn,3951,9,495,"Mar. 14, 1921",0,frog,breakable,spare
https://www.example.org/#bead,tv,Johanna,1185,1,304,"Jun. 20, 1978",0,fish,kittens,chemical
http://border.example.com/,stop sign,Abbigail,1605,10,559,"Mar. 1, 1931",0,kangaroo,swing,electric
https://example.edu/,tooth picks,Jaylee,1684,8,403,"Jul. 13, 1927",1,zebu,steadfast,release
http://www.example.com/bridge.php,screw,Micaela,3483,10,529,"Jul. 14, 1964",1,crow,depressed,blind
https://www.example.com/brother/bikes,rug,Elisa,61,9,113,"Feb. 24, 1929",0,mule,somber,wiry
http://example.com/?boot=bag,lace,Bailee,3693,7,262,"Feb. 17, 1992",0,anteater,dress,dance
http://www.example.com/amusement,leg warmers,Anne,5219,1,338,"Aug. 22, 1940",0,eland,entertaining,groan
http://animal.example.com/boundary/base.php,helmet,Addisyn,2730,9,146,"Dec. 23, 1922",0,oryx,seat,compete
https://www.example.com/baby,sailboat,Mira,731,8,416,"Oct. 11, 1998",1,thorny devil,honey,hurt
https://example.com/bell/bells.aspx,toothpaste,Angel,584,6,388,"Dec. 17, 1981",1,giraffe,light,obsolete
https://www.example.edu/?ball=beds,bananas,Elaine,4461,8,326,"Aug. 15, 1999",1,finch,slope,governor
https://www.example.com/,clay pot,Virginia,5257,1,212,"Sep. 19, 1936",1,elk,reply,vacuous
https://example.net/brake.aspx,chair,Kate,1398,1,476,"Apr. 16, 1921",1,gila monster,frightening,burn
https://www.example.com/airport?back=bomb&baseball=arch,bookmark,Makena,390,2,241,"Oct. 31, 1939",1,badger,gold,position
https://www.example.com/basin/branch.html,speakers,Maryjane,1833,9,307,"Apr. 23, 2021",1,peccary,faint,fruit
https://baby.example.net/,bracelet,Clara,4432,9,317,"Nov. 13, 2003",1,parakeet,zippy,gold
http://www.example.com/bubble/baby.php?birds=boundary&bit=behavior,clothes,Maeve,1080,1,307,"Feb. 9, 1957",0,rat,fish,snake
http://example.com/baby/bit,hair brush,Janiah,251,7,271,"Oct. 9, 1972",0,reindeer,afterthought,coal
https://example.com/afternoon,mouse pad,Kathryn,2049,8,466,"Oct. 18, 1934",0,sheep,trees,green
http://www.example.com/bone,sticky note,Belen,1550,3,199,"Feb. 5, 1943",1,seal,order,squealing
http://example.net/bit.html?authority=bag&belief=birds,wallet,Shyanne,957,1,188,"Nov. 4, 1970",0,salamander,addition,large
http://example.com/,CD,Brisa,1244,9,113,"Jan. 15, 2005",1,toad,property,wax
https://www.example.com/bikes.php,model car,Jaylene,278,4,372,"Nov. 27, 1959",0,weasel,multiply,stormy
https://example.com/#branch,mp3 player,Shania,1996,7,272,"Jul. 2, 1957",0,hare,sun,ring
http://www.example.edu/,brocolli,Martha,1169,7,418,"Apr. 27, 2003",0,duckbill platypus,trick,maniacal
https://www.example.com/branch/aftermath.htm?animal=brother,sun glasses,Gillian,2271,4,434,"Apr. 25, 1954",1,canary,idiotic,tasty
https://example.com/box,watch,Tia,1238,1,364,"May 28, 1936",0,lynx,cent,dirt
https://air.example.com/board,blouse,Haley,3786,7,292,"Apr. 9, 1993",1,jackal,disappear,wing
https://www.example.com/bells/breath,washing machine,Carissa,4445,3,131,"Jul. 23, 1933",0,octopus,heavenly,person
http://www.example.com/alarm?basket=boundary&addition=bike,wagon,Miah,4735,5,364,"Oct. 12, 2004",1,newt,practice,floor
https://www.example.net/activity/babies.php,bed,Sadie,1154,5,403,"Feb. 27, 1984",0,stallion,secretive,pretty
https://www.example.com/border/basketball?bear=amount&basket=bird,conditioner,Aurora,620,1,111,"Jun. 28, 1981",0,puma,nine,disappear
http://www.example.com/?bath=blood,thermometer,Mary,11,9,161,"Jun. 20, 2016",1,mustang,tongue,even
https://www.example.com/birth?bone=box,desk,Dominique,5233,1,447,"Oct. 25, 1988",0,eagle owl,fish,round
https://www.example.edu/bells,pen,Maggie,1142,1,177,"Aug. 4, 2013",0,lizard,fold,suggest
https://www.example.com/account,glasses,Allison,113,8,465,"Jan. 11, 2017",0,gopher,cloistered,weary
https://example.org/acoustics/arithmetic.html,tomato,Payten,1271,6,279,"Nov. 2, 1990",0,pig,fetch,listen
http://www.example.com/book/basin.html,carrots,Harmony,1422,9,322,"Nov. 7, 1947",1,iguana,dirt,bubble
https://example.com/,mirror,Leia,2448,4,164,"Jan. 17, 1958",1,dormouse,telling,industrious
http://boot.example.com/?birth=brake&box=boundary,twezzers,Kayleigh,1443,1,138,"Apr. 22, 1984",0,porcupine,desert,eager
http://example.com/book/blow.php,television,Amari,2525,1,342,"Jul. 31, 1951",1,ewe,scintillating,alluring
https://www.example.com/?bird=brass&berry=bed,sandal,Yaritza,3318,7,524,"Jul. 24, 1940",1,ground hog,hair,meaty
http://www.example.com/?brake=arm&adjustment=account,cat,Reese,412,10,130,"Oct. 22, 1957",1,sloth,walk,lumber
http://example.com/,shampoo,Holly,1003,9,401,"Jul. 31, 1935",0,turtle,pretty,snore
https://www.example.edu/bit/art.htm?basin=anger&authority=art,newspaper,Reyna,82,3,357,"Aug. 28, 1988",1,wombat,shiny,fascinated
http://www.example.com/,flowers,Alejandra,4044,2,299,"Jul. 11, 1997",1,armadillo,aunt,real
https://www.example.edu/believe,grid paper,Luna,1535,3,242,"Sep. 9, 2009",1,snake,draconian,memorize
https://www.example.com/bird/bridge,sharpie,Amani,1759,2,521,"Nov. 19, 1940",0,panther,voice,unused
https://www.example.org/,rubber band,Selah,3743,6,477,"Aug. 9, 1932",1,deer,bright,fold
https://ants.example.com/,soy sauce packet,Journey,4237,9,221,"Oct. 30, 2019",1,okapi,nice,brown
https://www.example.com/beginner/army.html,USB drive,Francesca,527,2,493,"May 16, 1997",0,marmoset,shelf,disarm
http://www.example.com/branch.php,shawl,Rosemary,5132,9,459,"Oct. 26, 1994",1,fawn,harmony,tender
http://example.com/,tree,Rose,4191,4,177,"May 22, 1978",0,guanaco,lucky,bit
https://www.example.com/boy,door,Lillie,5045,2,381,"Dec. 11, 2009",1,chinchilla,wrist,hilarious
http://example.org/bird/beginner,charger,Makayla,1046,4,385,"May 10, 1945",1,civet,secret,mother
https://bike.example.com/appliance.php,box,Braelyn,4326,3,434,"Oct. 28, 1989",0,ox,arch,cent
http://www.example.com/animal,blanket,Helen,4886,7,390,"Aug. 30, 1958",1,tapir,physical,exchange
http://approval.example.com/#baby,ipod,Chelsea,1790,1,178,"Feb. 1, 1952",0,ape,better,mere
http://www.example.net/,stockings,Leilani,3649,5,549,"Jul. 2, 1949",0,elephant,whine,flowery
http://example.com/,piano,Desiree,1686,5,410,"Aug. 6, 2004",0,argali,sun,spiritual
https://www.example.net/,toilet,Katherine,2263,4,251,"Aug. 26, 1972",0,starfish,food,quaint
http://www.example.com/bells?baby=bite&airplane=aftermath,cup,Delilah,4129,8,137,"Jan. 20, 1999",1,beaver,representative,finicky
http://example.com/books?acoustics=boy,packing peanuts,Ryleigh,1948,10,415,"Jun. 24, 1967",1,burro,blow,healthy
https://www.example.com/,boom box,Catherine,4629,3,247,"Dec. 6, 2021",0,moose,unused,power
https://www.example.com/,apple,Elyse,4837,8,451,"May 23, 1996",1,mink,motion,thinkable
http://actor.example.com/,candle,Perla,697,6,550,"Aug. 9, 1941",0,boar,left,telephone
https://example.com/,sponge,Alexandria,805,8,404,"Jun. 10, 1950",1,impala,alleged,nail
http://example.com/brick/basketball,outlet,Alana,418,5,371,"Nov. 2, 1957",0,mandrill,fallacious,territory
https://example.net/arch.aspx,button,Phoebe,3715,2,519,"Mar. 16, 2016",0,koala,whistle,troubled
https://actor.example.com/?afternoon=bag,socks,Kylee,2213,4,521,"Mar. 26, 2015",0,skunk,weigh,pan
http://example.com/#bubble,mop,Mila,4574,4,281,"May 4, 2017",0,raccoon,umbrella,functional
https://www.example.com/animal/balance.html,computer,Naima,4237,4,401,"Sep. 11, 2015",0,guinea pig,blood,cautious
https://www.example.com/box/advertisement,twister,Malia,527,8,357,"Mar. 12, 1963",0,dugong,dad,energetic
